,title,content
9999995,"사르코지 전 프랑스 대통령, '리비아 검은돈' 공모 혐의 기소",프랑스 경제범죄전담검찰 사르코지 전 대통령이 리비아의 범죄 행위에 가담한 혐의가 인정됐다며 이같이 밝혔다고 AFP통신이 전했다.
9999995,"文대통령, 전화외교로 '유명희 지원' 총력…""WTO 적임자""",문재인 대통령이 세계무역기구 사무총장 선거에 출마한 유명희 산업통상자원부 통상교섭본부장을 지원하기 위해 연일 수화기를 들고 해외 정상들을 설득하고 있다.
9999995,"“8대 할인쿠폰 혜택, 영세 소상공인에게 돌아가야”",국회 기획재정위원회 소속 더불어민주당 김두관 의원은 22일 국회에서 열린 기획재정부 국정감사에서 정부가 추진 중인 ‘8대 분야 할인쿠폰’의 숙박 분야 사업 구조를 지적하며 기재부의 책임감 있는 정책 추진을 촉구했다고 밝혔다.
9999995,"플레이위드, 스팀 PC카페 공개 시범 서비스 돌입",플레이위드는 20일 오후부터 밸브의 ‘스팀 PC카페’ 공개 시범 서비스를 수도권 내 PC방 일부를 대상으로 시작한다.
9999995,추미애·김병기 아들 군복무 특혜 공방…국감 종반까지 '시끌',"전주혜 국민의힘 의원은 이날 국방부, 군사법원 등에 대한 국회 법제사법위원회의 국정감사에서 추 장관 아들, 김 의원 아들의 군 복무 특혜 의혹을 집중적으로 파고들었다."
9999995,"환노위, 택배사 대표 증인 채택 불발…쿠팡 자회사 임원 추가 채택",국회 환노위는 19일 환경부 산하 기관에 대한 국정감사를 진행하던 중 전체회의를 열고 쿠팡 물류센터 자회사인 풀필먼트 소속 엄모 전무에 대한 종합감사 증인 추가 채택을 의결했다.
9999995,"하태경 ""이제 와서 시신 소각 확신 못 해?…국방장관 경질해야""","국회 국방위원인 하 의원은 이날 페이스북 글에서 ""국방부가 시신 소각에 대한 입장을 바꿨다. 시신을 소각했는지 확신할 수 없다는 것""이라며 이같이 주장했다."
9999995,"文 ""유명희, WTO 사무총장 최적임자""...브라질 대통령 ""능력 인정""","문 대통령은 이날 오후 9시부터 20분간의 정상통화에서 “브라질이 직전 WTO 사무총장 배출국으로, WTO 발전에 많은 기여를 해온 것을 잘 알고 있다”면서 이같이 말했다고 강민석 청와대 대변인인 전했다."
9999995,"홍남기 ""공공임대주택 공급으로 전세난 해소…단기대책도 모색""",홍 부총리는 이날 국회 기획재정위원회 국정감사에서 '전세난 해소를 위해서는 공급의 물꼬를 터줘야 한다'는 추경호 국민의힘 의원의 지적에 이같이 밝혔다.
9999995,"윤건영 “광화문 차벽은 코로나 막은 것…주호영 억지 그만 써야""",윤건영 더불어민주당 의원이 정부의 개천절 서울 도심 집회 금지를 비판한 국민의힘 주호영 원내대표를 향해 “그럼 개천절 집회를 허용했어야 한다는 얘기냐”며 “코로나19로 고통받는 국민은 보이지 않고 개천절 집회를 주장하는 그분들만 보이냐”고 비판했다.
9999995,"블룸버그 ""EU, WTO 사무총장 2차 경선서 韓 지지 가능성""",2일 블룸버그통신은 익명의 복수의 관리들을 인용해 EU 회원국 대표들이 WTO 사무총장 경선에서 한국의 유명희 산업통상자원부 통상교섭본부장과 나이지리아의 응고지 오콘조 이웰라 전 나이지리아 재무장관을 지원하는 방안을 승인할 계획이라고 보도했다.
9999995,"“남동발전 누적 적자 1,210억 원 달해”","경남 혁신도시에 본사를 둔 남동발전이 설립 이후 1,200억 원대의 적자를 본 것으로 나타났습니다."
9999995, '죽음의 승강기' 올해만 또 3명 사망…계속되는 잔혹사,국정감사에서 감사 대상은 주로 의원들의 거센 질타에 뭔가를 시정하겠다고 약속합니다.
9999995,"허인 국민은행장, 사실상 재연임 확정",허인 KB국민은행장이 사실상 재연임을 확정했다.
9999995,"""야!"" ""어린 XX가"" 반말·욕설로 얼룩진 막판 국감…의사봉은 내동댕이",어제 과방위 국감에서는 올해 국감 중 가장 볼썽사나운 장면이 펼쳐졌습니다.
9999995,"트럼프 확진소식에 놀란 靑, 한반도평화프로세스 영향 촉각",청와대가 도널드 트럼프 미국 대통령의 코로나19 확진 소식에 촉각을 세우고 있다.
9999995,"홍익표 ""조세지출 전망, 매년 1.2~4조 틀려""…홍남기 ""반성""",홍익표 더불어민주당 의원이 8일 최근 6년간 조세지출예산서의 전망치와 실제 실적과 격차가 1조1689억원~4조1480억원에 이른다고 밝혔다.
9999995,"블랙핑크·방탄소년단, 빌보드 차트 나란히 1·2위 석권","걸그룹 블랙핑크와 방탄소년단이 빌보드 '아티스트 100' 차트에서 나란히 1, 2위에 올랐습니다. 가수의 영향력과 인지도를 보여주는 지표로  K팝이 주류 장르로 자리 잡았다는 평가입니다."
9999995,"""경제자유구역에 10년간 60조원 투자·4천개 기업 추가유치""",산업통상자원부는 이런 내용을 담은 '경제자유구역 2.0 2030 비전과 전략'을 15일 열린 국정현안점검조정회의에서 보고했다.
9999995,포천 군부대 코로나19 집단감염 발생 '비상'…감염경로 불분명,4일 포천시와 국방부에 따르면 이날 오후 8시 기준 포천 내촌면에 있는 육군 부대 관련 확진자는 총 12명이다.
9999995,"""세금도 안걷히는데""…'벌금·과태료' 못걷은 국세외수입 9.7조원",국회 기획재정위원회 박홍근 의원실이 기획재정부로부터 제출받은 국세외수입 자료에 따르면 2019년 현재 국세외수입 미수납액은 9조6582억원인 것으로 조사됐다.
9999995,‘코나아이’ 주식 거래 재개…‘탐나는전’ 발행 초읽기,제주형 지역화폐 '탐나는전'의 운영 대행 우선협상자인 코나아이의 주식 거래가 재개되면서 제주도가 다음 달 말 '탐나는전'의 발행을 계획하고 있습니다.
9999995,"‘채용 비리’ 은행 간부들, 자회사 임원으로 옮겨 ‘고액 연봉’",주요 은행의 부정 채용 사건과 관련해 억울하게 탈락한 지원자들의 모습과 유명무실한 재발방지책을 어제 전해드렸는데요.
9999995,사찰 창고 불…불상 등 천 7백만 원 피해,오늘 오후 2시쯤 부산 금정구의 한 사찰 창고에서 불이 나 인근 요양병원 환자 60여 명이 대피하는 소동이 벌어졌습니다.
9999995,"여야 ""트럼프 부부 코로나19 확진 위로"" 한 목소리",여야는 2일 신종 코로나바이러스 감염증 양성 판정을 받은 미국 도널드 트럼프 대통령 부부의 쾌유를 한 목소리로 기원했다.
9999995,"한국제지 밀크, ‘국산 복사지’ 강조하는 한정판 레트로 패키지 출시",이번에 선보인 한국제지 밀크의 레트로 패키지는 밀크 메인 평량인 80g 품목만 한정 수량으로 판매할 계획이다.
9999995,"서울에프엔비, 면역력 강화‘남자의 아침, 여자의 아침 홍삼스틱’출시","식문화 웰빙기업 서울에프엔비는 물을 첨가하지 않은 홍삼 건강기능식품 ‘면역보감 남자의 아침, 여자의 아침’을 출시했다."
9999995,"문 대통령 ""이건희 별세 깊이 애도…우리 기업에 귀감과 용기""","문재인 대통령이 고 이건희 회장 유족에게 ""한국 재계의 상징인 고 이건희 회장의 별세를 깊이 애도하며, 유가족분들께 심심한 위로의 말씀을 전한다""고 전했습니다."
9999995,野 “권총 찬 靑 경호원 들어와” 공격에… 靑 “관례 따른 것” 반박,야당이 문재인 대통령의 국회 시정연설 당시 경호가 과도했다며 연일 비판을 이어가고 있다.
9999995,집값 상승세 멈췄다더니…비강남권 30평도 이젠 `20억 시대`,6일 국토교통부 실거래가 공개시스템에 따르면 서울 동작구 흑석동 아크로리버하임 전용 84㎡가 9월 7일 20억원에 거래됐다.
9999995,"""영끌에 빚투까지""…카드업계, 마통같은 '마이너스 카드' 출시",3일 카드업계에 따르면 롯데카드는 지난달 25일 마이너스카드를 출시했다.
9999995,전북 신규 환자 3명...거동 불편 70대 모시던 父子 등,전북에서 코로나19 신규 환자가 3명 늘어 도내 누적 확진자가 132명이 됐습니다.
9999995,與 “법 바꿔서라도 공수처 설치” vs 野 “특검받으면 협조”,공수처 설치. 라임 옵티머스 사태. 사사건건 여야 힘겨루기가 팽팽합니다.
9999995,"국토위, 최춘식의원 공공아파트 입주자격 설전",집값 상승 책임론 등으로 관심이 집중됐던 국회 국토교통위원회에서는 야당 의원의 공공아파트 입주자격이라는 색다른 주제가 등장해 여야간 설전이 이어졌다.
9999995," 주호영, 안철수에 ""기호 2번 받아야""…이유는?",비하인드 플러스 시간입니다.
9999995,한미동맹 구호 “같이 갑시다”...중국대사 앞에서 외친 與 김병주,한미연합사령부 부사령관 출신인 더불어민주당 김병주 의원이 지난 8월 주한 중국 대사관 만찬에서 한·미 동맹을 상징하는 구호인 ‘같이 갑시다’라는 건배사를 한 것으로 27일 알려졌다.
9999995,"KIMST, 항공라이다 신규과제 현장 컨설팅 실시",해양수산과학기술진흥원은 해양수산 R＆D ‘안전한 항만 구축 및 관리기술개발사업’의 올해 신규과제인 항공라이다
